productName,productPrice,productUnit,productPromotion,productPromotionDuration,productPromotionGroup,url,error
Fairprice Onwards Toilet Tissue Roll 3 Ply 30 X 220 Per Pack,,,,,,https://www.fairprice.com.sg/product/fairprice-onwards-toilet-tissue-roll-3-ply-30-x-220-per-pack-13004987,False
,,,,,,https://www.fairprice.com.sg/product/fairprice-premium-kitchen-towel-8-per-pack-13189468,False
,,,,,,https://www.fairprice.com.sg/login?redirect=%2Fproduct%2Fpasar-white-button-mushroom-200g-13101275,False
Birds Eye Cod Fish Fingers,,504g,,,,https://www.fairprice.com.sg/product/birds-eye-cod-fish-fingers-504g-13255525,False
Coco-Thumb Fresh Coconut,,1 per pack,,,,https://www.fairprice.com.sg/product/coco-thumb-fresh-coconut-1-per-pack-13167850,False
,,,,,,https://www.fairprice.com.sg/login?redirect=%2Fproduct%2Fmagnolia-low-fat-milk-earl-grey-946ml-13269797,False
,,,,,,https://www.fairprice.com.sg/product/china-shanghai-green-baby-300g-12156192,False
,,,,,,https://www.fairprice.com.sg/product/fairprice-100-coconut-water-1l-1l-13093717,False
,,,,,,https://www.fairprice.com.sg/product/fairprice-pure-drinking-bottle-water-12-x-1-5l-ctn-12709930,False
South Africa Fuji Apple,,6 per pack,,,,https://www.fairprice.com.sg/product/south-africa-fuji-apple-6-per-pack-13232786,False
,,,,,,,False
,,,,,,https://www.fairprice.com.sg/product/pursoft-tissue-soft-pack-outdoor-3-ply-4-x-120-per-pack-13099154,False
,,,,,,,False
,,,,,,,False
,,,,,,,False
Cloversoft 4 in1 Supreme Laundry Capsules - Rose Grape,$9.95,20 per pack,Any2 for $12.90,Till 1st Jul 2025,"Cloversoft 4 in1 Supreme Laundry Capsules - Rose Grape, Cloversoft 4 in1 Deluxe Plus+ Laundry Capsules - Eucalyptus",https://www.fairprice.com.sg/product/cloversoft-4-in-1-supreme-laundry-capsules-rose-grape-20-per-pack-13242718,False
Cloversoft 4 in1 Deluxe Plus+ Laundry Capsules - Eucalyptus,$9.95,20 per pack,Any2 for $12.90,,"Cloversoft 4 in1 Supreme Laundry Capsules - Rose Grape, Cloversoft 4 in1 Deluxe Plus+ Laundry Capsules - Eucalyptus",https://www.fairprice.com.sg/product/cloversoft-4-in-1-deluxe-plus-laundry-capsules-eucalyptus-20-per-pack-13219905,False
Cloversoft 4 in1 Basic Laundry Capsules - Atlantic Coast,$9.95,25 per pack,,,,https://www.fairprice.com.sg/product/cloversoft-4-in-1-basic-laundry-capsules-atlantic-coast-25-per-pack-13212864,False
FairPrice Canola Oil,$8.15,2L,Save $1.35,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13241561_XL1_20250513.jpg?w=400&q=70,False
Chang Classic Can Beer,$12.50,6 x 320ml,Offer $12.50 $15.74 Save $3.24Till1st Jul2025,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10625362_XL1_20230427.jpg?w=400&q=70,False
Pasar Longan,$4.85,850g,,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13132201_XL1_20250522.jpg?w=400&q=70,False
Jasmine Fragrant Rice,$9.20,5kg,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13086205_XL1_20210705.jpg?w=400&q=70,False
San Benedetto Natural Mineral Water - Sparkling,$9.95,6 x 1.5L (CTN),Offer $9.95 $14.21 Save $4.26,5h,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11926132_XL1_20250215.jpg?w=400&q=70,False
CB16/20 Frozen Live Grey Prawn Hoso,$17.80,1 KG,"Buy 1, get 10% off",Till 1st Jul 2025,,https://www.fairprice.com.sg/product/cb-16-20-frozen-live-grey-prawn-hoso-1-kg-90011416,False
CB31/40 Frozen Live Black Tiger Prawn Hoso,$18.80,1 KG,,,,https://www.fairprice.com.sg/product/cb-31-40-frozen-live-black-tiger-prawn-hoso-1-kg-90011417,False
CB Frozen Food Vannamei Butterfly Cut PD Prawn,$16.80,1 KG,,,,https://www.fairprice.com.sg/product/cb-frozen-food-vannamei-butterfly-cut-pd-prawn1620,False
F & N Magnolia Fresh Milk - Chocolate,$3.63,946ml,Any2 for $6.55,Till 1st Jul 2025,F & N Magnolia Fresh Milk - Chocolate,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12337233_XL1_20240912.jpg?w=400&q=70,False
F & N Magnolia Fresh Milk - Chocolate,$3.63,946ml,"Buy2, get free Magnolia Cinnamoroll Pouch (Asst)",Till 30th Jun 2025,Magnolia Cinnamoroll Pouch (Asst),https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12337233_XL1_20240912.jpg?w=400&q=70,False
Cif Cream Surface Cleanser - Lemon,$2.12,660g,Any4 for $5.70,2 days5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13195660_XL1_20250402.jpg?w=400&q=70,False
Italy Red Pop Apple,$5.95,700g,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13228441_XL1_20230309.jpg?w=400&q=70,False
Farmers Union Greek Style Yoghurt - Natural,$10.33,1kg,Offer $9.50 Save $0.83,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/155863_XL1_20240305.jpg?w=400&q=70,False
Jack 'n Jill Potato Chips - Barbecue (Funpack),$3.05,8 x 15g,Any2 for $5.30,5h,"Jack 'n Jill Potato Chips - Barbecue (Funpack), Jack 'n Jill Potato Chips - Salsa Chili (Funpack)",https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12294499_XL1_20230914.jpg?w=400&q=70,False
Jack 'n Jill Potato Chips - Salsa Chili (Funpack),$3.05,8 x 15g,Any2 for $5.30,,"Jack 'n Jill Potato Chips - Barbecue (Funpack), Jack 'n Jill Potato Chips - Salsa Chili (Funpack)",https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12294464_XL1_20230914.jpg?w=320&q=60,False
Golden Pineapple Japonica Rice (Short Grain Calrose),$10.50,5 KG,Save $2.00,Till 2nd Sep 2025,,https://www.fairprice.com.sg/product/golden-pineapple-japonica-rice-short-grain-calrose-5-kg-90041956,False
Jack 'n Jill Potato Chips - Salsa Chili (Funpack),$3.05,8 x 15g,Any2 for $5.30,5h,"Jack 'n Jill Potato Chips - Salsa Chili (Funpack), Jack 'n Jill Potato Chips - Barbecue (Funpack)",https://www.fairprice.com.sg/product/jack-n-jill-potato-chips-salsa-chili-funpack-8-x-15g-12294464,False
Jack 'n Jill Potato Chips - Barbecue (Funpack),$3.05,8 x 15g,Any2 for $5.30,,"Jack 'n Jill Potato Chips - Salsa Chili (Funpack), Jack 'n Jill Potato Chips - Barbecue (Funpack)",https://www.fairprice.com.sg/product/jack-n-jill-potato-chips-barbecue-funpack-8-x-15g-12294499,False
Julie's Sandwich Biscuits - Peanut Butter,$5.60,360g (12 per pack),,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12083675_XL1_20201210.jpg?w=400&q=70,False
Kettle Brand Potato Chips - Honey Dijon,$5.70,141g,Any2 for $8.00,2 days 5 hours,"Kettle Brand Potato Chips - Honey Dijon, Kettle Brand Potato Chips - Sea Salt",https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11461574_XL1_20250515.jpg?w=400&q=70,False
Johnsonville Smoked Pork Sausage - Beddar with Cheddar,$11.65,360g,Offer $9.50 Save $2.15,5h,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13002865_XL1.jpg?w=400&q=70,False
Magiclean Wiper Handy Duster Refill,$4.59,3 per pack,Buy 2 for $6.40,5h,Magiclean Wiper Handy Duster Refill,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12030194_XL1_20250213.jpg?w=400&q=70,False
Meiji Fresh Milk - Regular,$6.97,2L,Offer $6.70 Save $0.27,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10238055_XL1_20240506.jpg?w=400&q=70,False
Milo Chocolate Malt Milk UHT Packet Drink,$14.45,24 x 200ml,"Spend $128, get free La Gourmet Multicooker",Till 30th Jun 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12704741_XL1_20250428.jpg?w=400&q=70,False
Pasar Cherries,$13.90,250g,Buy 1 Pasar Cherries @50% Off,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12197760_XL1_20250605.jpg?w=400&q=70,False
Paseo Bathroom Tissue Roll -4 Ply,$6.95,10 x 200 per pack,Save $1.70,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13172131_XL1_20250604.jpg?w=400&q=70,False
